id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52088878,Cozy independent room next to Lake Murray,100368579,Guy & Eva,,San Carlos,32.789742,-117.034927,Private room,85,2,7,2022-06-12,3.62,1,148,7,
599610579640991142,RelaxingSunset View PrivateBalcony for SIX guests,414789390,Grecia,,Tijuana River Valley,32.53066158004917,-117.0831512626807,Entire home/apt,96,1,1,2022-04-30,0.64,2,361,1,
35203930,San Diego-Bonita Oasis on 1/2 acre with pool #1,265085721,Sherry,,Bay Terrace,32.68282,-117.02559,Private room,73,2,59,2022-05-29,1.65,3,117,30,
19621314,"Huge Royal Luxury En Suite (Bath, WC & Balcony)",46170232,Jay,,Mission Bay,33.08553,-117.02757,Private room,90,1,147,2022-06-06,2.45,5,14,30,
53661776,2 bedrooms/ 1 bath - Upstairs - Near Lake Hodges,62320777,Cara,,Rancho Bernadino,33.09528,-117.10836,Private room,167,2,0,,,7,28,0,
628640985640584632,Bright freshly renovated apartment w/ kitchenette,95926933,Fabian,,Mission Bay,32.545208446620805,-116.93391413383509,Entire home/apt,54,1,0,,,11,363,0,
29489747,Majo's Place,174649308,María José,,Mission Bay,32.53125,-116.97315,Entire home/apt,31,1,527,2022-06-07,11.90,1,349,160,
588584479865718415,"Wonderful 1 Bedroom, Close to the Bay",113883981,City,,Northwest,32.66696,-117.1013,Entire home/apt,356,1,0,,,46,269,0,
1240503,Slightly SE of San Diego -- Queen 2,6761999,Marilyn,,Bonita Long Canyon,32.64779,-116.99218,Private room,40,1,167,2022-05-31,1.54,2,184,34,
29185190,The West Star,25047669,Elizabeth,,Northwest,32.65319,-117.10861,Entire home/apt,343,2,92,2022-06-01,2.27,1,262,16,
39755889,Beautiful 4BR Luxury Home in Great Location w/Pool,303518125,Blanca,,Bay Terrace,32.67727,-117.03607,Entire home/apt,752,2,52,2022-06-05,1.71,1,23,24,
37637253,"¡Cómodo, Seguro y Acogedor! (5 MIN DE LINEA INT.)",252208105,Osvaldo,,Mission Bay,32.54489,-116.92548,Entire home/apt,39,1,1,2019-10-27,0.03,1,3,0,
45812616,Seaside Room,1451704,Deborah,,Tierrasanta,32.83214,-117.02254,Private room,83,1,19,2022-05-30,1.50,2,355,15,
34229310,19 Downtown Tijuana Centro Small Studio w/ Parking,221210514,Ruben,,Tijuana River Valley,32.53349,-117.0498,Entire home/apt,32,1,151,2022-06-04,4.24,1,175,56,
25461248,Glamping in the Orange Grove Tipi/Teepee-Kids Free,503698,Nancy,,Mission Bay,33.08365,-117.03843,Entire home/apt,69,2,58,2022-05-29,1.19,1,327,12,
29967,"Great home, 10 min walk to Beach",129123,Michael,,Pacific Beach,32.80751,-117.2576,Entire home/apt,265,4,79,2022-05-29,0.54,5,297,14,
